date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2012-08-15|1.584831|1.748905|-0.164074|296|201
2012-08-16|1.679779|1.735526|-0.055747|272|152
2012-08-17|1.89042|1.668326|0.222094|500|221
2012-08-18|1.802241|1.611|0.191241|58|20
2012-08-19|1.964667|2.007692|-0.043026|45|13
2012-08-20|1.802658|1.619495|0.183163|647|297
2012-08-21|1.646872|1.687638|-0.040766|716|436
2012-08-22|1.705759|1.63811|0.067649|613|328
2012-08-23|1.696364|1.688296|0.008067|528|270
2012-08-24|1.762202|1.808563|-0.04636|663|320
2012-08-25|1.873571|1.673095|0.200476|84|42
2012-08-26|1.634656|1.919083|-0.284426|131|109
2012-08-27|1.633879|1.710773|-0.076894|562|233
2012-08-28|1.716297|1.62434|0.091958|343|159
2012-08-29|1.769283|1.650098|0.119185|237|102
2012-08-30|1.70728|1.699331|0.007949|364|269
2012-08-31|1.782715|1.754633|0.028082|302|218
2012-09-01|1.881429|1.966|-0.084571|21|15
2012-09-02|1.317727|1.344444|-0.026717|22|9
2012-09-03|1.549286|1.611579|-0.062293|42|19
2012-09-04|1.755293|1.810709|-0.055416|393|254
2012-09-05|1.679859|1.696818|-0.016959|355|220
2012-09-06|1.770227|1.731462|0.038765|484|212
2012-09-07|1.800529|1.65195|0.148579|359|200
2012-09-08|1.681852|1.6512|0.030652|27|25
2012-09-09|1.47225|1.796|-0.32375|40|20
2012-09-10|1.615506|1.781952|-0.166446|494|461
2012-09-11|1.668322|1.753699|-0.085376|453|365
2012-09-12|1.638733|1.784007|-0.145274|797|554
2012-09-13|1.764191|1.619181|0.145011|606|293
2012-09-14|1.65947|1.640955|0.018515|566|356
2012-09-15|1.690625|1.6445|0.046125|64|40
2012-09-16|1.751772|1.58|0.171772|79|32
2012-09-17|1.655504|1.616667|0.038838|476|258
2012-09-18|1.725781|1.635636|0.090145|429|220
2012-09-19|1.754357|1.741338|0.013019|381|157
2012-09-20|1.695978|1.687826|0.008152|363|230
2012-09-21|1.698369|1.646179|0.05219|417|212
2012-09-22|1.612727|2.12027|-0.507543|44|37
2012-09-23|1.765833|1.985217|-0.219384|96|92
2012-09-24|1.607632|1.869709|-0.262076|642|515
2012-09-25|1.601335|1.713333|-0.111999|532|432
2012-09-26|1.679266|1.652584|0.026682|640|387
2012-09-27|1.636547|1.658229|-0.021682|724|401
2012-09-28|1.605711|1.743973|-0.138262|401|297
2012-09-29|1.577097|1.498065|0.079032|62|31
2012-09-30|1.487818|1.692432|-0.204614|55|37
2012-10-01|1.600528|1.763127|-0.162599|436|339
2012-10-02|1.63231|1.736632|-0.104323|762|487
2012-10-03|1.75922|1.851818|-0.092598|449|253
2012-10-04|1.614689|1.627937|-0.013247|386|252
2012-10-05|1.635174|1.762879|-0.127705|489|389
2012-10-06|1.726|1.326905|0.399095|55|42
2012-10-07|1.644227|1.594146|0.05008|97|41
2012-10-08|1.575357|1.715158|-0.139801|672|475
2012-10-09|1.630651|1.700732|-0.070081|860|492
2012-10-10|1.743794|1.65083|0.092964|427|229
2012-10-11|1.584957|1.804|-0.219043|464|380
2012-10-12|1.668612|1.751267|-0.082655|281|221
2012-10-13|1.773061|1.620323|0.152739|49|31
